Year,Res_Weight
1900,0.003521483
1901,0.003521483
1902,0.003521483
1903,0.003521483
1904,0.003521483
1905,0.003521483
1906,0.003521483
1907,0.003521483
1908,0.003521483
1909,0.003521483
1910,0.003521483
1911,0.003521483
1912,0.003521483
1913,0.003521483
1914,0.003521483
1915,0.003521483
1916,0.003521483
1917,0.003521483
1918,0.003521483
1919,0.003521483
1920,0.003521483
1921,0.003521483
1922,0.003521483
1923,0.003521483
1924,0.003521483
1925,0.003521483
1926,0.003521483
1927,0.003521483
1928,0.003521483
1929,0.003521483
1930,0.003521483
1931,0.003521483
1932,0.003521483
1933,0.003521483
1934,0.003521483
1935,0.003521483
1936,0.003521483
1937,0.003521483
1938,0.003521483
1939,0.003521483
1940,0.003521483
1941,0.003521483
1942,0.003521483
1943,0.003521483
1944,0.003521483
1945,0.003521483
1946,0.003521483
1947,0.003521483
1948,0.003521483
1949,0.003521483
1950,0.009941028
1951,0.009941028
1952,0.009941028
1953,0.009941028
1954,0.009941028
1955,0.009941028
1956,0.009941028
1957,0.009941028
1958,0.009941028
1959,0.009941028
1960,0.01010952
1961,0.01010952
1962,0.01010952
1963,0.01010952
1964,0.01010952
1965,0.01010952
1966,0.01010952
1967,0.01010952
1968,0.01010952
1969,0.01010952
1970,0.013647852
1971,0.013647852
1972,0.013647852
1973,0.013647852
1974,0.013647852
1975,0.013647852
1976,0.013647852
1977,0.013647852
1978,0.013647852
1979,0.013647852
1980,0.012342039
1981,0.012342039
1982,0.012342039
1983,0.012342039
1984,0.012342039
1985,0.012342039
1986,0.012342039
1987,0.012342039
1988,0.012342039
1989,0.012342039
1990,0.015459141
1991,0.015459141
1992,0.015459141
1993,0.015459141
1994,0.015459141
1995,0.015459141
1996,0.015459141
1997,0.015459141
1998,0.015459141
1999,0.015459141
2000,0.017101938
2001,0.017101938
2002,0.017101938
2003,0.017101938
2004,0.017101938
2005,0.017101938
2006,0.017101938
2007,0.017101938
2008,0.017101938
2009,0.017101938
2010,0.00631845
2011,0.00631845
2012,0.00631845
2013,0.00631845
2014,0.00631845
2015,0.00631845